uri,duration_ms,artist,name,danceability,energy,loudness,valence,tempo,instrumentalness,speechiness,popularity,msPlayed,horario
7JZ5mOTea5T4LH0UdwCsWx,146815,Duki,TOP 5,0.853,0.824,-3.384,0.693,100.05,2.68e-05,0.214,69,226410,night
0RpL1pOALdN5E4Ci1tYG1y,150612,Maria Becerra,Te Cura,0.754,0.876,-3.878,0.719,98.022,3.57e-05,0.039,80,199359,night
6aommJFM8i3iT4inKuDSXh,215986,Jósean Log,Chachachá,0.68,0.321,-10.944,0.416,110.827,4.67e-06,0.0376,80,174272,night
0L5wghl5RSXbOInxDhHAUU,168840,Chaqueño Palavecino,La Ley y La Trampa,0.504,0.692,-4.595,0.385,176.039,0.0,0.0505,61,160596,night
3q9oTSo64CrjOiPwI4DbWE,180843,Bakermat,Baianá,0.587,0.722,-6.983,0.466,121.964,0.668,0.0709,66,117780,night
2iIBpwP4FyQ95xgVail3yr,203636,Emilia,No_se_ve.mp3,0.752,0.666,-5.185,0.545,131.986,1.62e-05,0.0672,86,114346,night
5YYW3yRktprLRr47WK219Y,218107,Rochy RD,Ella No Es Tuya - Remix,0.585,0.611,-4.132,0.962,97.041,0.0,0.288,72,93674,night
3dnP0JxCgygwQH9Gm7q7nb,165671,Eslabon Armado,Ella Baila Sola,0.668,0.758,-5.176,0.834,147.989,1.89e-05,0.0332,99,89983,night
7xNCacksfUkYXsXuSW4vNF,152214,salem ilese,PS5 (with TOMORROW X TOGETHER & Alan Walker),0.602,0.642,-5.404,0.54,175.978,5.33e-06,0.211,75,84096,night
30096a5EMOSaF9c2aSa4TH,180928,MC Mazzie,Ele Te Bota Soca Soca,0.896,0.746,-5.174,0.752,130.138,1.19e-06,0.072,76,73258,night
2UW7JaomAMuX9pZrjVpHAU,234353,Yng Lvcas,La Bebe - Remix,0.812,0.479,-5.678,0.559,169.922,1.21e-06,0.333,99,69289,night
3NyFzXVqUkMDau6wmr1qCV,175317,Maria Becerra,AUTOMÁTICO,0.68,0.808,-3.854,0.868,176.131,2.23e-06,0.224,0,67498,night
2ECIwi1a7mfokdDkkJ08Ne,346460,KHEA,Loca,0.795,0.751,-3.661,0.537,113.033,0.0,0.0675,73,62378,night
1H2HqAQw4sDHQiZQDvsAYd,148778,Valley,Cure,0.605,0.702,-6.587,0.631,94.949,0.0,0.0496,49,59127,night
1DIXPcTDzTj8ZMHt3PDt8p,240693,Coolio,Gangsta's Paradise,0.647,0.514,-10.05,0.386,79.975,0.0,0.0593,89,33834,night
1eIDsKCLwZF6CJK8pOgHX5,158310,BM,M.A (Mejores Amigos),0.746,0.729,-5.855,0.755,87.971,0.0,0.063,83,26240,night
7MkylDYvKTSuWgrsBhHlsG,227562,Bizarrap,"Duki: Bzrp Music Sessions, Vol. 50",0.535,0.874,-2.248,0.323,140.006,0.0,0.137,77,16085,night
2oiixB9QMIzhWaHGVlQx4g,216148,Yandel,Yandel 150,0.783,0.729,-3.549,0.58,167.968,0.000272,0.0691,90,12501,night
5AqiaZwhmC6dIbgWrD5SzV,187660,Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55",0.854,0.668,-7.848,0.805,132.966,5.61e-05,0.0466,97,6421,night
3Gs7mVfWKl567mjozgxmXv,187653,Feid,Niña Bonita,0.823,0.615,-4.19,0.47,90.952,0.0,0.147,90,6058,night
