nombre,dia,horario,proporcion_diaria,proporcion_total
Light It Up (feat. Nyla & Fuse ODG) [Remix],viernes,noche,29.724208375893767,4.697336561743342
Ahi Ahi Ahi - Rkt,viernes,noche,29.724208375893767,4.697336561743342
Graduados - Tan Biónica,viernes,noche,29.724208375893767,4.697336561743342
TIERRA ZANTA,viernes,noche,29.724208375893767,4.697336561743342
RON COLA,viernes,noche,29.724208375893767,4.697336561743342
Muñecas,viernes,noche,29.724208375893767,4.697336561743342
Ramenez la coupe à la maison,viernes,noche,29.724208375893767,4.697336561743342
Olé Olé (feat. Ronaldinho Gaúcho),viernes,noche,29.724208375893767,4.697336561743342
beau-papa,viernes,noche,29.724208375893767,4.697336561743342
Don't Stop Me Now - Remastered 2011,viernes,noche,29.724208375893767,4.697336561743342
Hora De Acostarse,sábado,noche,43.89312977099237,5.569007263922518
First Class Seat,sábado,noche,43.89312977099237,5.569007263922518
Sonitus IV,sábado,noche,43.89312977099237,5.569007263922518
Space Wind,sábado,noche,43.89312977099237,5.569007263922518
A Dampened Rumble,sábado,noche,43.89312977099237,5.569007263922518
Lo-Air,sábado,noche,43.89312977099237,5.569007263922518
Deep Mindset,sábado,noche,43.89312977099237,5.569007263922518
Ocean Dark,sábado,mañana,18.575063613231553,2.3567393058918484
Windy Cave,sábado,mañana,18.575063613231553,2.3567393058918484
Focus Freq.,sábado,mañana,18.575063613231553,2.3567393058918484
Focus Waves,sábado,mañana,18.575063613231553,2.3567393058918484
10.000 Feet Sound,sábado,mañana,18.575063613231553,2.3567393058918484
beau-papa,sábado,mañana,18.575063613231553,2.3567393058918484
beau-papa,sábado,mañana,18.575063613231553,2.3567393058918484
Don't Stop Me Now - Remastered 2011,sábado,mañana,18.575063613231553,2.3567393058918484
Warriors,sábado,mañana,18.575063613231553,2.3567393058918484
Warriors,sábado,tarde,37.531806615776084,4.761904761904762
Warriors,sábado,tarde,37.531806615776084,4.761904761904762
Don't Stop Me Now - Remastered 2011,sábado,tarde,37.531806615776084,4.761904761904762
Ramenez la coupe à la maison,sábado,tarde,37.531806615776084,4.761904761904762
RON COLA,sábado,tarde,37.531806615776084,4.761904761904762
RON COLA,sábado,tarde,37.531806615776084,4.761904761904762
Light It Up (feat. Nyla & Fuse ODG) [Remix],sábado,tarde,37.531806615776084,4.761904761904762
Can't Hold Us (feat. Ray Dalton),sábado,tarde,37.531806615776084,4.761904761904762
